Market dataset loaded
  subset   | # ids | # images
  ---------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
Test with best model:
=> Loaded checkpoint './logs/market/checkpoint.pth.tar'
extracting query features

Extract Features: [640/796]	Time 0.180 (0.183)	Data 0.000 (0.000)	
Extract Features: [650/796]	Time 0.179 (0.183)	Data 0.000 (0.000)	
Extract Features: [660/796]	Time 0.179 (0.183)	Data 0.000 (0.000)	
Extract Features: [670/796]	Time 0.181 (0.183)	Data 0.000 (0.000)	
Extract Features: [680/796]	Time 0.179 (0.183)	Data 0.000 (0.000)	
Extract Features: [690/796]	Time 0.178 (0.183)	Data 0.000 (0.000)	
Extract Features: [700/796]	Time 0.182 (0.183)	Data 0.000 (0.000)	
Extract Features: [710/796]	Time 0.180 (0.183)	Data 0.000 (0.000)	
Extract Features: [720/796]	Time 0.179 (0.183)	Data 0.000 (0.000)	
Extract Features: [730/796]	Time 0.180 (0.183)	Data 0.000 (0.000)	
Extract Features: [740/796]	Time 0.182 (0.183)	Data 0.000 (0.000)	
Extract Features: [750/796]	Time 0.183 (0.183)	Data 0.000 (0.000)	
Extract Features: [760/796]	Time 0.184 (0.183)	Data 0.000 (0.000)	
Extract Features: [770/796]	Time 0.198 (0.183)	Data 0.000 (0.000)	
Extract Features: [780/796]	Time 0.191 (0.183)	Data 0.000 (0.000)	
Extract Features: [790/796]	Time 0.187 (0.183)	Data 0.000 (0.000)	
Mean AP: 78.4%
CMC Scores    allshots      cuhk03  market1501
  top-1          60.5%       79.6%       92.9%
  top-5          74.1%       92.9%       97.2%
  top-10         79.6%       95.6%       98.2%
